project_id,activity_id,activity_name,predecessor_details,successor_details,activity_status,total_float,original_duration,bl_project_start,bl_project_finish,start,finish,schedule_%_complete,activity_%_complete,performance_%_complete,budgeted_total_cost,earned_value_cost
The Big -P.01-UP-20-April-26,con-b01-1st-1010,"rft_for_walls,_col._&_cores_(b01)_(1st)","con-b01-1st-1000:_ss_3,_con-b01-1st-1000:_ff,_e-app-b01-1st-1000:_fs,_p-mdel-1120:_fs","con-b01-1st-1020:_ss_3,_con-b01-1st-1020:_ff",not_started,-97.0,7,3-May-26,10-May-26,1-Sep-26,8-Sep-26,0.0,0.0,0.0,549617.03,0.0
The Big -P.01-UP-20-April-26,con-b01-1st-1050,"rft_for_slabs,_beams_&_stairs(b01)_(1st)","con-b01-1st-1040:_ss_4,_con-b01-1st-1040:_ff,_e-app-b01-1st-1010:_fs,_e-app-b01-1st-1020:_fs,_e-app-b01-1st-1030:_fs,_p-mdel-1120:_fs",con-b01-1st-1060:_fs,not_started,-98.0,12,21-May-26,8-Jun-26,20-Sep-26,4-Oct-26,0.0,0.0,0.0,1550603.78,0.0
The Big -P.01-UP-20-April-26,con-b01-2nd-1010,"rft_for_walls,_col._&_cores_(b01)_(2nd)","con-b01-2nd-1000:_ss_2,_con-b01-2nd-1000:_ff,_e-app-b01-2nd-1000:_fs,_p-mdel-1110:_fs","con-b01-2nd-1020:_ss_3,_con-b01-2nd-1020:_ff",not_started,-98.0,7,16-Jun-26,23-Jun-26,12-Oct-26,20-Oct-26,0.0,0.0,0.0,547183.9,0.0
The Big -P.01-UP-20-April-26,con-b01-2nd-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(2nd)","con-b01-2nd-1040:_ss_4,_con-b01-2nd-1040:_ff,_e-app-b01-2nd-1010:_fs,_e-app-b01-2nd-1020:_fs,_e-app-b01-2nd-1030:_fs,_p-mdel-1110:_fs",.,not_started,-98.0,8,6-Jul-26,14-Jul-26,31-Oct-26,9-Nov-26,0.0,0.0,0.0,1544246.42,0.0
The Big -P.01-UP-20-April-26,con-b01-3rd-1010,"rft_for_walls,_col._&_cores_(b01)_(3rd)","con-b01-3rd-1000:_ss_3,_con-b01-3rd-1000:_ff,_e-app-b01-3ed-1000:_fs,_e-app-b01-3ed-1010:_fs,_e-app-b01-3ed-1020:_fs,_e-app-b01-3ed-1030:_fs,_p-mdel-1100:_fs","con-b01-3rd-1020:_ss_3,_con-b01-3rd-1020:_ff",not_started,-98.0,7,25-Jul-26,1-Aug-26,17-Nov-26,25-Nov-26,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-3rd-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(3rd)","con-b01-3rd-1040:_ss_4,_con-b01-3rd-1040:_ff,_p-mdel-1100:_fs",con-b01-3rd-1060:_fs,not_started,-98.0,10,12-Aug-26,23-Aug-26,6-Dec-26,17-Dec-26,0.0,0.0,0.0,1251398.38,0.0
The Big -P.01-UP-20-April-26,con-b01-4th-1010,"rft_for_walls,_col._&_cores_(b01)_(4th)","con-b01-4th-1000:_ss_3,_con-b01-4th-1000:_ff,_e-app-b01-4th-1000:_fs,_e-app-b01-4th-1010:_fs,_e-app-b01-4th-1020:_fs,_e-app-b01-4th-1030:_fs,_p-mdel-1090:_fs","con-b01-4th-1020:_ss_3,_con-b01-4th-1020:_ff",not_started,-98.0,7,2-Sep-26,9-Sep-26,26-Dec-26,3-Jan-27,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-4th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(4th)","con-b01-4th-1040:_ss_4,_con-b01-4th-1040:_ff,_p-mdel-1090:_fs",con-b01-4th-1060:_fs,not_started,-98.0,12,21-Sep-26,4-Oct-26,14-Jan-27,30-Jan-27,0.0,0.0,0.0,1252401.85,0.0
The Big -P.01-UP-20-April-26,con-b01-5th-1010,"rft_for_walls,_col._&_cores_(b01)_(5th)","con-b01-5th-1000:_ss_3,_con-b01-5th-1000:_ff,_e-app-b01-5th-1000:_fs,_p-mdel-1080:_fs","con-b01-5th-1020:_ss_3,_con-b01-5th-1020:_ff",not_started,-98.0,6,14-Oct-26,20-Oct-26,7-Feb-27,14-Feb-27,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-5th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(5th)","con-b01-5th-1040:_ss_4,_con-b01-5th-1040:_ff,_e-app-b01-5th-1010:_fs,_e-app-b01-5th-1020:_fs,_e-app-b01-5th-1030:_fs,_p-mdel-1080:_fs",con-b01-5th-1060:_fs,not_started,-98.0,9,1-Nov-26,10-Nov-26,24-Feb-27,7-Mar-27,0.0,0.0,0.0,1250273.36,0.0
The Big -P.01-UP-20-April-26,con-b01-6th-1010,"rft_for_walls,_col._&_cores_(b01)_(6th)","con-b01-6th-1000:_ss_3,_con-b01-6th-1000:_ff,_e-app-b01-6th-1000:_fs,_p-mdel-1070:_fs","con-b01-6th-1020:_ss_3,_con-b01-6th-1020:_ff",not_started,-98.0,6,17-Nov-26,23-Nov-26,16-Mar-27,23-Mar-27,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-6th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(6th)","con-b01-6th-1040:_ss_4,_con-b01-6th-1040:_ff,_e-app-b01-6th-1010:_fs,_e-app-b01-6th-1020:_fs,_e-app-b01-6th-1030:_fs,_p-mdel-1070:_fs",con-b01-6th-1060:_fs,not_started,-98.0,9,6-Dec-26,15-Dec-26,4-Apr-27,14-Apr-27,0.0,0.0,0.0,1249030.06,0.0
The Big -P.01-UP-20-April-26,con-b01-7th-1010,"rft_for_walls,_col._&_cores_(b01)_(7th)","con-b01-7th-1000:_ss_2,_con-b01-7th-1000:_ff,_e-app-b01-7th-1000:_fs,_p-mdel-1190:_fs","con-b01-7th-1020:_ss_3,_con-b01-7th-1020:_ff",not_started,-98.0,5,21-Dec-26,26-Dec-26,19-Apr-27,25-Apr-27,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-7th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(7th)","con-b01-7th-1040:_ss_3,_con-b01-7th-1040:_ff,_e-app-b01-7th-1010:_fs,_e-app-b01-7th-1020:_fs,_e-app-b01-7th-1030:_fs,_p-mdel-1190:_fs",con-b01-7th-1060:_fs,not_started,-98.0,9,6-Jan-27,17-Jan-27,5-May-27,16-May-27,0.0,0.0,0.0,1250029.31,0.0
The Big -P.01-UP-20-April-26,con-b01-8th-1010,"rft_for_walls,_col._&_cores_(b01)_(8th)","con-b01-8th-1000:_ss_2,_con-b01-8th-1000:_ff,_e-app-b01-8th-1000:_fs,_p-mdel-1180:_fs","con-b01-8th-1020:_ss_2,_con-b01-8th-1020:_ff",not_started,-98.0,5,23-Jan-27,28-Jan-27,20-May-27,26-May-27,0.0,0.0,0.0,460777.03,0.0
