project_id,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,01-Oct-25,22-Oct-25,16-Sep-25,27-Oct-25,16-Sep-25,27-Oct-25,0,0,0,No,Yes,E-DR-1000,"E-APP-B01-FOOT-1000, E-APP-B01-FOOT-1000, E-SUB-B01-FOOT-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,05-Oct-25,26-Oct-25,05-Oct-25,27-Oct-25,05-Oct-25,27-Oct-25,0,0,0,No,Yes,"E-DR-1000, E-SUB-B01-FOOT-1000","E-APP-B01-FOOT-1010, E-APP-B01-FOOT-1010, E-SUB-B01-FOOT-1030",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1020,Submittal for RC Raft & Footings RFT DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,13-Oct-25,02-Nov-25,01-Oct-25,30-Oct-25,01-Oct-25,30-Oct-25,0,0,0,No,Yes,"E-DR-1000, E-SUB-B01-FOOT-1030","E-APP-B01-FOOT-1020, E-APP-B01-FOOT-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1030,Submittal for  Waterproofing Layout Plan (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,09-Oct-25,29-Oct-25,01-Oct-25,11-Oct-25,01-Oct-25,11-Oct-25,0,0,0,No,Yes,"E-DR-1000, E-SUB-B01-FOOT-1010","E-APP-B01-FOOT-1030, E-APP-B01-FOOT-1030, E-SUB-B01-FOOT-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,10-Nov-25,30-Nov-25,10-Nov-25,03-Feb-26,10-Nov-25,03-Feb-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-BAS02-1000, E-APP-B01-BAS02-1000, E-SUB-B01-BAS02-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,24-Nov-25,14-Dec-25,30-Nov-25,22-Feb-26,30-Nov-25,22-Feb-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS02-1030","E-APP-B01-BAS02-1040, E-APP-B01-BAS02-1040",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,20-Nov-25,10-Dec-25,20-Nov-25,16-Feb-26,20-Nov-25,16-Feb-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS02-1020","E-APP-B01-BAS02-1030, E-APP-B01-BAS02-1030, E-SUB-B01-BAS02-1040",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,13-Nov-25,03-Dec-25,13-Nov-25,03-Dec-25,13-Nov-25,03-Dec-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS02-1000","E-APP-B01-BAS02-1010, E-APP-B01-BAS02-1010, E-SUB-B01-BAS02-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1020,Submittal for Ramps Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,17-Nov-25,07-Dec-25,17-Nov-25,07-Dec-25,17-Nov-25,07-Dec-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS02-1010","E-APP-B01-BAS02-1020, E-APP-B01-BAS02-1020, E-SUB-B01-BAS02-1030",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-SOG-1000,Submittal for S.O.G Conc. Dim. DWGs (B01) (Sog),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB.SOG,10-Mar-26,04-Apr-26,12-Feb-26,04-Mar-26,12-Feb-26,04-Mar-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-SOG-1000, E-APP-B01-SOG-1000, E-SUB-B01-SOG-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-SOG-1010,Submittal for S.O.G RFT DWGs (B01) (Sog),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB.SOG,14-Mar-26,07-Apr-26,16-Feb-26,08-Mar-26,16-Feb-26,08-Mar-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-SOG-1000","E-APP-B01-SOG-1010, E-APP-B01-SOG-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,17-Nov-25,07-Dec-25,22-Oct-25,03-Feb-26,22-Oct-25,03-Feb-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-BAS01-1000, E-APP-B01-BAS01-1000, E-SUB-B01-BAS01-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,01-Dec-25,21-Dec-25,05-Nov-25,31-Mar-26,05-Nov-25,31-Mar-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS01-1030","E-APP-B01-BAS01-1040, E-APP-B01-BAS01-1040",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,27-Nov-25,17-Dec-25,02-Nov-25,10-Mar-26,02-Nov-25,10-Mar-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS01-1020","E-APP-B01-BAS01-1030, E-APP-B01-BAS01-1030, E-SUB-B01-BAS01-1040",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,20-Nov-25,10-Dec-25,26-Oct-25,15-Nov-25,26-Oct-25,15-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS01-1000","E-APP-B01-BAS01-1010, E-APP-B01-BAS01-1010, E-SUB-B01-BAS01-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1020,Submittal for Ramps Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,24-Nov-25,14-Dec-25,29-Oct-25,18-Nov-25,29-Oct-25,18-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-BAS01-1010","E-APP-B01-BAS01-1020, E-APP-B01-BAS01-1020, E-SUB-B01-BAS01-1030",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-GR-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.GF,20-Nov-25,10-Dec-25,26-Oct-25,15-Nov-25,26-Oct-25,15-Nov-25,0,0,0,No,No,E-DR-1000,"E-APP-B01-GR-1000, E-APP-B01-GR-1000, E-SUB-B01-GR-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-GR-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.GF,01-Dec-25,21-Dec-25,20-May-26,14-Jun-26,,,18,-60,0,Yes,No,"E-DR-1000, E-SUB-B01-GR-1020","E-APP-B01-GR-1030, E-APP-B01-GR-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-GR-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.GF,27-Nov-25,17-Dec-25,17-May-26,10-Jun-26,,,18,-60,0,Yes,No,"E-DR-1000, E-SUB-B01-GR-1010","E-APP-B01-GR-1020, E-APP-B01-GR-1020, E-SUB-B01-GR-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-GR-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.GF,24-Nov-25,14-Dec-25,23-Mar-26,12-Apr-26,23-Mar-26,12-Apr-26,0,0,0,No,No,"E-DR-1000, E-SUB-B01-GR-1000","E-APP-B01-GR-1010, E-APP-B01-GR-1010, E-SUB-B01-GR-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.1stF,10-Dec-25,30-Dec-25,01-Feb-26,03-Feb-26,01-Feb-26,03-Feb-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-1ST-1000, E-APP-B01-1ST-1000, E-SUB-B01-1ST-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.1stF,20-Dec-25,10-Jan-26,19-May-26,13-Jun-26,,,18,-30,0,Yes,No,"E-DR-1000, E-SUB-B01-1ST-1020","E-APP-B01-1ST-1030, E-APP-B01-1ST-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.1stF,17-Dec-25,06-Jan-26,17-May-26,10-Jun-26,,,18,-30,0,Yes,No,"E-DR-1000, E-SUB-B01-1ST-1010","E-APP-B01-1ST-1020, E-APP-B01-1ST-1020, E-SUB-B01-1ST-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.1stF,14-Dec-25,03-Jan-26,26-Oct-25,15-Nov-25,26-Oct-25,15-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-1ST-1000","E-APP-B01-1ST-1010, E-APP-B01-1ST-1010, E-SUB-B01-1ST-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.2ndF,20-Dec-25,10-Jan-26,01-Feb-26,03-Mar-26,01-Feb-26,03-Mar-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-2ND-1000, E-APP-B01-2ND-1000, E-SUB-B01-2ND-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.2ndF,30-Dec-25,20-Jan-26,20-May-26,14-Jun-26,,,18,3,0,No,No,"E-DR-1000, E-SUB-B01-2ND-1020","E-APP-B01-2ND-1030, E-APP-B01-2ND-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.2ndF,27-Dec-25,17-Jan-26,17-May-26,10-Jun-26,,,18,3,0,No,No,"E-DR-1000, E-SUB-B01-2ND-1010","E-APP-B01-2ND-1020, E-APP-B01-2ND-1020, E-SUB-B01-2ND-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.2ndF,23-Dec-25,13-Jan-26,01-Nov-25,15-Nov-25,01-Nov-25,15-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-2ND-1000","E-APP-B01-2ND-1010, E-APP-B01-2ND-1010, E-SUB-B01-2ND-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,30-Dec-25,20-Jan-26,01-Feb-26,03-Mar-26,01-Feb-26,03-Mar-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-3ED-1000, E-APP-B01-3ED-1000, E-SUB-B01-3RD-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,11-Jan-26,01-Feb-26,20-May-26,14-Jun-26,,,18,22,0,No,No,"E-DR-1000, E-SUB-B01-3RD-1020","E-APP-B01-3ED-1030, E-APP-B01-3ED-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,06-Jan-26,28-Jan-26,17-May-26,10-Jun-26,,,18,22,0,No,No,"E-DR-1000, E-SUB-B01-3RD-1010","E-APP-B01-3ED-1020, E-APP-B01-3ED-1020, E-SUB-B01-3RD-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,03-Jan-26,24-Jan-26,01-Nov-25,15-Nov-25,01-Nov-25,15-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-3RD-1000","E-APP-B01-3ED-1010, E-APP-B01-3ED-1010, E-SUB-B01-3RD-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,14-Jan-26,04-Feb-26,01-Feb-26,03-Feb-26,01-Feb-26,03-Feb-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-4TH-1000, E-APP-B01-4TH-1000, E-SUB-B01-4TH-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,26-Jan-26,15-Feb-26,20-May-26,14-Jun-26,,,18,55,0,No,No,"E-DR-1000, E-SUB-B01-4TH-1020","E-APP-B01-4TH-1030, E-APP-B01-4TH-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,21-Jan-26,11-Feb-26,17-May-26,10-Jun-26,,,18,55,0,No,No,"E-DR-1000, E-SUB-B01-4TH-1010","E-APP-B01-4TH-1020, E-APP-B01-4TH-1020, E-SUB-B01-4TH-1030",0.0,0,0.0
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,18-Jan-26,08-Feb-26,01-Nov-25,15-Nov-25,01-Nov-25,15-Nov-25,0,0,0,No,No,"E-DR-1000, E-SUB-B01-4TH-1000","E-APP-B01-4TH-1010, E-APP-B01-4TH-1010, E-SUB-B01-4TH-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-5TH-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (5th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.5thF,24-Jan-26,14-Feb-26,01-Feb-26,03-Feb-26,01-Feb-26,03-Feb-26,0,0,0,No,No,E-DR-1000,"E-APP-B01-5TH-1000, E-APP-B01-5TH-1000, E-SUB-B01-5TH-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-5TH-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (5th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.5thF,04-Feb-26,24-Feb-26,20-May-26,14-Jun-26,,,18,101,0,No,No,"E-DR-1000, E-SUB-B01-5TH-1020","E-APP-B01-5TH-1030, E-APP-B01-5TH-1030",0.0,0,0.0
