project_id,Resource ID,Activity ID,Activity Name,Original Duration,Planned Start,Planned Finish,Start,Finish,Budgeted Units,Actual Units,Remaining Units,Units % Complete,Budgeted Units / Time,Drive Activity Dates,Default Units / Time,Price / Unit,Remaining Units / Time,Max Units/Time,Calculate costs from units,Budgeted Cost ,Spreadsheet Field
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-1ST-1050,"RFT for Slabs, Beams & Stairs (B04) (1st)",10,14-Oct-26,26-Oct-26,14-Oct-26,26-Oct-26,36.63,0.0,36.63,0%,3.66/d,Yes,8.00/d,$1.00/unit,3.66/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-2ND-1010,"RFT for Walls, Col. & Cores (B04) (2nd)",8,4-Nov-26,14-Nov-26,4-Nov-26,14-Nov-26,13.54,0.0,13.54,0%,1.69/d,Yes,8.00/d,$1.00/unit,1.69/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-2ND-1050,"RFT for Slabs, Beams & Stairs (B04) (2nd)",10,23-Nov-26,5-Dec-26,23-Nov-26,5-Dec-26,35.09,0.0,35.09,0%,3.51/d,Yes,8.00/d,$1.00/unit,3.51/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-3RD-1010,"RFT for Walls, Col. & Cores (B04) (3rd)",8,15-Dec-26,23-Dec-26,15-Dec-26,23-Dec-26,11.4,0.0,11.4,0%,1.43/d,Yes,8.00/d,$1.00/unit,1.43/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-3RD-1050,"RFT for Slabs, Beams & Stairs (B04) (3rd)",10,3-Jan-27,14-Jan-27,3-Jan-27,14-Jan-27,25.22,0.0,25.22,0%,2.52/d,Yes,8.00/d,$1.00/unit,2.52/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-4TH-1010,"RFT for Walls, Col. & Cores (B04) (4th)",8,23-Jan-27,1-Feb-27,23-Jan-27,1-Feb-27,11.4,0.0,11.4,0%,1.43/d,Yes,8.00/d,$1.00/unit,1.43/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-4TH-1050,"RFT for Slabs, Beams & Stairs (B04) (4th)",10,11-Feb-27,22-Feb-27,11-Feb-27,22-Feb-27,25.19,0.0,25.19,0%,2.52/d,Yes,8.00/d,$1.00/unit,2.52/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-5TH-1010,"RFT for Walls, Col. & Cores (B04) (5th)",8,3-Mar-27,15-Mar-27,3-Mar-27,15-Mar-27,11.4,0.0,11.4,0%,1.43/d,Yes,8.00/d,$1.00/unit,1.43/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-5TH-1050,"RFT for Slabs, Beams & Stairs (B04) (5th)",10,23-Mar-27,3-Apr-27,23-Mar-27,3-Apr-27,25.19,0.0,25.19,0%,2.52/d,Yes,8.00/d,$1.00/unit,2.52/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-6TH-1010,"RFT for Walls, Col. & Cores (B04) (6th)",5,12-Apr-27,17-Apr-27,12-Apr-27,17-Apr-27,11.4,0.0,11.4,0%,2.28/d,Yes,8.00/d,$1.00/unit,2.28/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-6TH-1050,"RFT for Slabs, Beams & Stairs (B04) (6th)",8,25-Apr-27,3-May-27,25-Apr-27,3-May-27,25.21,0.0,25.21,0%,3.15/d,Yes,8.00/d,$1.00/unit,3.15/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-7TH-1010,"RFT for Walls, Col. & Cores (B04) (7th)",5,11-May-27,16-May-27,11-May-27,16-May-27,11.4,0.0,11.4,0%,2.28/d,Yes,8.00/d,$1.00/unit,2.28/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-7TH-1050,"RFT for Slabs, Beams & Stairs (B04) (7th)",8,23-May-27,31-May-27,23-May-27,31-May-27,25.41,0.0,25.41,0%,3.18/d,Yes,8.00/d,$1.00/unit,3.18/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-8TH-1010,"RFT for Walls, Col. & Cores (B04) (8th)",6,7-Jun-27,13-Jun-27,7-Jun-27,13-Jun-27,11.4,0.0,11.4,0%,1.90/d,Yes,8.00/d,$1.00/unit,1.90/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-8TH-1050,"RFT for Slabs, Beams & Stairs (B04) (8th)",6,20-Jun-27,26-Jun-27,20-Jun-27,26-Jun-27,24.72,0.0,24.72,0%,4.12/d,Yes,8.00/d,$1.00/unit,4.12/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-RF-1010,"RFT for Walls, Col. & Cores (B04) (RF)",1,3-Jul-27,3-Jul-27,3-Jul-27,3-Jul-27,3.94,0.0,3.94,0%,3.94/d,Yes,8.00/d,$1.00/unit,3.94/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-RF-1050,"RFT for Slabs, Beams  (B04) (RF)",2,8-Jul-27,10-Jul-27,8-Jul-27,10-Jul-27,3.88,0.0,3.88,0%,1.94/d,Yes,8.00/d,$1.00/unit,1.94/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B03-RF-1010,"RFT for Walls, Col. & Cores (B03) (RF)",2,5-Jun-27,6-Jun-27,5-Jun-27,6-Jun-27,3.24,0.0,3.24,0%,1.62/d,Yes,8.00/d,$1.00/unit,1.62/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B03-RF-1050,"RFT for Slabs, Beams  (B03) (RF)",3,15-Jun-27,17-Jun-27,15-Jun-27,17-Jun-27,3.54,0.0,3.54,0%,1.18/d,Yes,8.00/d,$1.00/unit,1.18/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-BAS02-1010,"RFT for Walls, Col. & Cores (B04) (Bas 02)",10,23-May-26,7-Jun-26,23-May-26,7-Jun-26,49.19,0.0,49.19,0%,4.92/d,Yes,8.00/d,$1.00/unit,4.92/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-BAS02-1060,RFT for Slabs & Beams (B04) (Bas 02),10,20-Jun-26,1-Jul-26,20-Jun-26,1-Jul-26,80.43,0.0,80.43,0%,8.04/d,Yes,8.00/d,$1.00/unit,8.04/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-BAS02-1080,RFT for Stairs  (B04) (Bas 02),5,21-Jun-26,25-Jun-26,21-Jun-26,25-Jun-26,0.54,0.0,0.54,0%,0.11/d,Yes,8.00/d,$1.00/unit,0.11/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-BAS02-1090,RFT for Ramps (B01) (Bas 02),8,22-Jun-26,2-Jul-26,22-Jun-26,2-Jul-26,26.48,0.0,26.48,0%,3.31/d,Yes,8.00/d,$1.00/unit,3.31/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-BAS01-1090,RFT for  Ramps (B01) (Bas 01),8,5-Aug-26,15-Aug-26,5-Aug-26,15-Aug-26,26.48,0.0,26.48,0%,3.31/d,Yes,8.00/d,$1.00/unit,3.31/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-BAS02-1090,RFT for Ramps (B04) (Bas 02),5,22-Jun-26,27-Jun-26,22-Jun-26,27-Jun-26,26.48,0.0,26.48,0%,5.30/d,Yes,8.00/d,$1.00/unit,5.30/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-BAS01-1080,RFT for  Ramps (B04) (Bas 01),7,26-Jul-26,2-Aug-26,26-Jul-26,2-Aug-26,26.48,0.0,26.48,0%,3.78/d,Yes,8.00/d,$1.00/unit,3.78/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-FOOT-1070,RFT for Columns & Walls Below SOG (B01) (footing),8,5-Feb-26,14-Feb-26,28-Feb-26 A,18-May-26,1.98,1.68,0.3,85%,0.25/d,Yes,8.00/d,$1.00/unit,0.25/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B02-FOOT-1070,RFT for Columns & Walls Below SOG (B02) (footing),6,6-Jan-26,13-Jan-26,28-Jan-26 A,04-Mar-26 A,2.43,2.43,0.0,100%,0.41/d,Yes,8.00/d,$1.00/unit,0.41/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-FOOT-1070,RFT for Columns & Walls Below SOG (B04) (footing),5,1-Apr-26,6-Apr-26,10-Mar-26 A,18-May-26,3.14,2.04,1.1,65%,0.63/d,Yes,8.00/d,$1.00/unit,0.63/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B03-FOOT-1070,RFT for Columns & Walls Below SOG (B03) (footing),5,8-Jan-26,13-Jan-26,26-Jan-26 A,02-Mar-26 A,1.46,1.46,0.0,100%,0.29/d,Yes,8.00/d,$1.00/unit,0.29/d,8.00/d,Yes,$0.00 ,Budgeted Units
