activity_id,activity_name,wbs_code,planned_start,planned_finish,actual_start,actual_finish,duration_planned,duration_actual,progress_percent,status
E-SUB-B04-WT-1040,Submittal for Slabs DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,27-Sep-25,18-Oct-25,14-Nov-25,30-Nov-25,18,18,100%,
E-SUB-B03-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.1,27-Sep-25,18-Oct-25,27-Sep-25,18-Oct-25,18,18,100%,
E-SUB-B01-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,1-Oct-25,22-Oct-25,16-Sep-25,27-Oct-25,18,18,100%,
P-MA-1000,Approval for RFT Rebar,The Big - P.01 - UP-24-MAY-26.P.MS.SA,2-Oct-25,14-Oct-25,2-Oct-25,14-Oct-25,10,10,100%,
E-APP-B01-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.1,2-Oct-25,14-Oct-25,2-Oct-25,23-Nov-25,10,10,100%,
E-APP-B04-WT-1000,Approval for PC Raft Conc. Dim. DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,4-Oct-25,15-Oct-25,7-Oct-25,17-Dec-25,10,10,100%,
E-SUB-B01-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,5-Oct-25,26-Oct-25,5-Oct-25,27-Oct-25,18,18,100%,
P-MA-1010,Approval for Soil Replacement,The Big - P.01 - UP-24-MAY-26.P.MS.SA,5-Oct-25,16-Oct-25,5-Oct-25,16-Oct-25,10,10,100%,
P-MA-1020,Approval for Plain Concrete,The Big - P.01 - UP-24-MAY-26.P.MS.SA,5-Oct-25,16-Oct-25,5-Oct-25,16-Oct-25,10,10,100%,
E-SUB-B02-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,7-Oct-25,27-Oct-25,7-Oct-25,27-Oct-25,10,10,100%,
E-APP-B03-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.4,7-Oct-25,18-Oct-25,7-Oct-25,18-Oct-25,10,10,100%,
E-SUB-B04-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.F,8-Oct-25,28-Oct-25,8-Oct-25,28-Oct-25,18,18,100%,
E-APP-B04-WT-1010,Approval for RC Raft Conc. Dim. DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,8-Oct-25,19-Oct-25,18-Nov-25,29-Nov-25,10,10,100%,
E-SUB-B02-FOOT-1030,Submittal for  Waterproofing Layout Plan (B02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,8-Oct-25,28-Oct-25,8-Oct-25,28-Oct-25,18,18,100%,
E-SUB-B01-FOOT-1030,Submittal for  Waterproofing Layout Plan (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,9-Oct-25,29-Oct-25,1-Oct-25,11-Oct-25,18,18,100%,
E-SUB-B02-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,11-Oct-25,30-Oct-25,11-Oct-25,30-Oct-25,3,3,100%,
E-SUB-B03-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.F,11-Oct-25,30-Oct-25,11-Oct-25,30-Oct-25,20,20,100%,
E-SUB-B04-FOOT-1020,Submittal for RC Raft & Footings Conc. Dim. DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.F,12-Oct-25,1-Nov-25,12-Oct-25,1-Nov-25,7,7,100%,
E-APP-B04-WT-1020,Approval for RC Raft RFT DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,12-Oct-25,22-Oct-25,22-Nov-25,2-Dec-25,18,18,100%,
E-SUB-B03-FOOT-1000,Submittal for  Waterproofing Layout Plan (B03),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.F,12-Oct-25,1-Nov-25,12-Oct-25,1-Nov-25,18,18,100%,
E-SUB-B01-FOOT-1020,Submittal for RC Raft & Footings RFT DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,13-Oct-25,2-Nov-25,1-Oct-25,30-Oct-25,2,2,100%,
P-MA-1030,Approval for Rc Concrete,The Big - P.01 - UP-24-MAY-26.P.MS.SA,13-Oct-25,23-Oct-25,13-Oct-25,23-Oct-25,18,18,100%,
E-APP-B04-FOOT-1000,Approval for  Waterproofing Layout Plan (B04),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.F,13-Oct-25,23-Oct-25,30-Nov-25,10-Dec-25,18,18,100%,
E-SUB-B02-FOOT-1020,Submittal for RC Raft & Footings RFT DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,14-Oct-25,3-Nov-25,14-Oct-25,3-Nov-25,10,10,100%,
E-SUB-B03-FOOT-1020,Submittal for RC Raft & Footings Conc. Dim. DWGs (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.F,14-Oct-25,3-Nov-25,14-Oct-25,3-Nov-25,10,10,100%,
E-APP-B04-WT-1030,Approval for Col. & Walls DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,15-Oct-25,26-Oct-25,1-Dec-25,11-Dec-25,18,18,100%,
P-MA-1040,Approval for Waterproofing,The Big - P.01 - UP-24-MAY-26.P.MS.SA,15-Oct-25,26-Oct-25,15-Oct-25,26-Oct-25,18,18,100%,
P-MA-1050,Approval for cold applied damp-proofing,The Big - P.01 - UP-24-MAY-26.P.MS.SA,15-Oct-25,26-Oct-25,15-Oct-25,26-Oct-25,1,1,100%,
P-MA-1060,Approval for cold Crystalline waterproofing for Water tank,The Big - P.01 - UP-24-MAY-26.P.MS.SA,15-Oct-25,26-Oct-25,15-Oct-25,26-Oct-25,10,10,100%,
E-SUB-B04-FOOT-1030,Submittal for RC Raft & Footings RFT DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.F,16-Oct-25,5-Nov-25,16-Oct-25,5-Nov-25,18,18,100%,
E-SUB-B03-FOOT-1030,Submittal for RC Raft & Footings RFT DWGs (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.F,18-Oct-25,6-Nov-25,18-Oct-25,6-Nov-25,10,10,100%,
P-MPOS-1010,P.O for  Soil Replacement,The Big - P.01 - UP-24-MAY-26.P.PC.PO,18-Oct-25,19-Oct-25,18-Oct-25,19-Oct-25,10,10,100%,
P-MPOS-1020,P.O for  Plain Concrete,The Big - P.01 - UP-24-MAY-26.P.PC.PO,18-Oct-25,19-Oct-25,18-Oct-25,19-Oct-25,2,2,100%,
P-MPOS-1000,P.O for Rebar Patch#1 (Footing & Water tank),The Big - P.01 - UP-24-MAY-26.P.PC.PO.1,19-Oct-25,20-Oct-25,27-Sep-25,29-Sep-25,18,18,100%,
E-APP-B04-WT-1040,Approval for Slabs DWGs (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,19-Oct-25,29-Oct-25,1-Dec-25,11-Dec-25,2,2,100%,
P-MDEL-1020,Delivery for Plain Concrete,The Big - P.01 - UP-24-MAY-26.P.PC.DS,21-Oct-25,22-Oct-25,16-Oct-25,16-Oct-25,3,3,100%,
E-SUB-B04-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B04),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.1,21-Oct-25,10-Nov-25,21-Oct-25,10-Nov-25,18,18,100%,
E-APP-B01-FOOT-1000,Approval for PC Raft Conc. Dim. DWGs (B01) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.F,23-Oct-25,3-Nov-25,23-Sep-25,16-Oct-25,2,2,100%,
CON-B04-WT-1000,Excavation for Water Tank (+198.15) (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,25-Oct-25,4-Nov-25,5-Oct-25,10-Nov-25,2,2,100%,
P-MPOS-1030,P.O for  Rc Concrete,The Big - P.01 - UP-24-MAY-26.P.PC.PO,25-Oct-25,26-Oct-25,25-Oct-25,26-Oct-25,18,18,100%,
E-APP-B01-FOOT-1010,Approval for RC Raft & Footings Conc. Dim. DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.F,27-Oct-25,6-Nov-25,14-Oct-25,27-Oct-25,18,18,100%,
P-MPOS-1040,P.O for  Waterproofing,The Big - P.01 - UP-24-MAY-26.P.PC.PO,27-Oct-25,28-Oct-25,27-Oct-25,28-Oct-25,18,18,100%,
P-MPOS-1050,P.O for cold applied damp-proofing,The Big - P.01 - UP-24-MAY-26.P.PC.PO,27-Oct-25,28-Oct-25,27-Oct-25,28-Oct-25,18,18,100%,
P-MDEL-1010,Delivery for Soil Replacement,The Big - P.01 - UP-24-MAY-26.P.PC.DS,27-Oct-25,28-Oct-25,17-Oct-25,19-Oct-25,18,18,100%,
P-MDEL-1030,Delivery for Rc Concrete,The Big - P.01 - UP-24-MAY-26.P.PC.DS,27-Oct-25,12-Nov-25,30-Nov-25,30-Nov-25,18,18,100%,
P-MPOS-1060,P.O for cold Crystalline waterproofing for Water tank,The Big - P.01 - UP-24-MAY-26.P.PC.PO,27-Oct-25,28-Oct-25,17-May-26,18-May-26,18,18,100%,
E-APP-B02-FOOT-1000,Approval for PC Raft Conc. Dim. DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUB.F,28-Oct-25,8-Nov-25,1-Dec-25,11-Dec-25,18,18,100%,
E-APP-B04-FOOT-1010,Approval for PC Raft Conc. Dim. DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.F,29-Oct-25,9-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
P-MDEL-1040,Delivery for Waterproofing,The Big - P.01 - UP-24-MAY-26.P.PC.DS,29-Oct-25,25-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
P-MDEL-1050,Delivery for cold applied damp-proofing,The Big - P.01 - UP-24-MAY-26.P.PC.DS,29-Oct-25,16-Dec-25,17-May-26,4-Jul-26,18,18,100%,
E-APP-B02-FOOT-1030,Approval for  Waterproofing Layout Plan (B02),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUB.F,29-Oct-25,9-Nov-25,1-Dec-25,11-Dec-25,18,18,100%,
E-APP-B01-FOOT-1030,Approval for  Waterproofing Layout Plan (B01),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.F,30-Oct-25,10-Nov-25,6-Oct-25,21-Oct-25,18,18,100%,
E-APP-B02-FOOT-1010,Approval for RC Raft & Footings Conc. Dim. DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUB.F,1-Nov-25,11-Nov-25,1-Dec-25,4-Dec-25,18,18,100%,
E-APP-B03-FOOT-1010,Approval for PC Raft Conc. Dim. DWGs (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.1,1-Nov-25,11-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
P-MDEL-1000,Delivery for Rebar Patch#1 (Footing & Water tank),The Big - P.01 - UP-24-MAY-26.P.PC.DS.DR,2-Nov-25,3-Nov-25,28-Oct-25,14-Feb-26,18,18,100%,
E-APP-B04-FOOT-1020,Approval for RC Raft & Footings Conc. Dim. DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.F,2-Nov-25,12-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
E-APP-B03-FOOT-1000,Approval for  Waterproofing Layout Plan (B03),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.1,2-Nov-25,12-Nov-25,30-Nov-25,10-Dec-25,2,2,100%,
CON-EW-B01-1000,Soil Replacement & Leveling & Compaction (B01),The Big - P.01 - UP-24-MAY-26.CON.EW.B01,3-Nov-25,19-Nov-25,30-Oct-25,14-Nov-25,18,18,100%,
E-APP-B01-FOOT-1020,Approval for RC Raft & Footings RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.F,3-Nov-25,13-Nov-25,23-Sep-25,20-Oct-25,18,18,100%,
E-APP-B02-FOOT-1020,Approval for RC Raft & Footings RFT DWGs (B02) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUB.F,4-Nov-25,15-Nov-25,1-Dec-25,4-Dec-25,18,18,100%,
E-APP-B03-FOOT-1020,Approval for RC Raft & Footings Conc. Dim. DWGs  (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.1,4-Nov-25,15-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
CON-B04-WT-1010,Compaction of Soil (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,5-Nov-25,8-Nov-25,10-Oct-25,11-Oct-25,2,2,100%,
CON-EW-B01-1010,Soil Compaction Test (B01),The Big - P.01 - UP-24-MAY-26.CON.EW.B01,6-Nov-25,23-Nov-25,15-Nov-25,29-Nov-25,2,2,100%,
E-APP-B04-FOOT-1030,Approval for RC Raft & Footings RFT DWGs (B04) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.F,6-Nov-25,17-Nov-25,30-Nov-25,10-Dec-25,2,2,100%,
E-APP-B03-FOOT-1030,Approval for RC Raft & Footings RFT DWGs  (B03) (footing),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.1,8-Nov-25,18-Nov-25,30-Nov-25,10-Dec-25,18,18,100%,
CON-B04-WT-1020,Shuttering for PC Raft (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,9-Nov-25,10-Nov-25,12-Oct-25,18-Oct-25,15,15,100%,
E-SUB-B03-BAS02-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B03) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.2ndB,10-Nov-25,30-Nov-25,1-Jan-26,10-Feb-26,20,20,100%,
E-SUB-B04-BAS02-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB,10-Nov-25,30-Nov-25,1-Jan-26,10-Feb-26,18,18,100%,
E-SUB-B02-BAS02-1000,Submittal for Col. & Walls Conc. Dim.& RFT DWGs (B02) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.2ndB,10-Nov-25,30-Nov-25,15-Oct-25,5-Feb-26,18,18,100%,
E-SUB-B01-BAS02-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,10-Nov-25,30-Nov-25,10-Nov-25,3-Feb-26,18,18,100%,
E-APP-B04-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B04),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.1,11-Nov-25,22-Nov-25,11-Nov-25,22-Nov-25,18,18,100%,
CON-EW-B02-1000,Soil Replacement & Leveling & Compaction (B02),The Big - P.01 - UP-24-MAY-26.CON.EW.B02,12-Nov-25,4-Dec-25,30-Oct-25,10-Nov-25,18,18,100%,
CON-B04-WT-1030,Pouring for PC Raft (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,13-Nov-25,13-Nov-25,15-Oct-25,16-Oct-25,18,18,100%,
E-SUB-B03-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B03) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.2ndB,13-Nov-25,3-Dec-25,1-Feb-26,10-Feb-26,18,18,100%,
E-SUB-B04-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B04) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB,13-Nov-25,3-Dec-25,1-Feb-26,14-Feb-26,18,18,100%,
E-SUB-B02-BAS02-1010,Submittal for Stairs Conc. Dim.& RFT DWGs (B02) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.2ndB,13-Nov-25,3-Dec-25,19-Oct-25,8-Nov-25,18,18,100%,
E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,13-Nov-25,3-Dec-25,13-Nov-25,3-Dec-25,18,18,100%,
CON-B04-WT-1040,Curing for PC Raft (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,14-Nov-25,16-Nov-25,18-Oct-25,21-Oct-25,18,18,100%,
AB-SUB-B04-WT-1000,Submittal for PC Raft Conc. Dim. DWGs As-Built Drawing (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B04.SUB.2ndB.1,15-Nov-25,4-Dec-25,17-May-26,10-Jun-26,18,18,100%,
CON-EW-B02-1010,Soil Compaction Test (B02),The Big - P.01 - UP-24-MAY-26.CON.EW.B02,16-Nov-25,8-Dec-25,15-Nov-25,29-Nov-25,18,18,100%,
E-SUB-B03-BAS02-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.2ndB,17-Nov-25,7-Dec-25,1-Mar-26,10-Mar-26,18,18,100%,
E-SUB-B04-BAS02-1020,Submittal for Ramps Conc. Dim.  & RFT DWGs (B04) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB,17-Nov-25,7-Dec-25,16-Feb-26,26-Feb-26,18,18,100%,
E-SUB-B02-BAS02-1020,Submittal for Beams Conc. Dim.& RFT DWGs (B02) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.2ndB,17-Nov-25,7-Dec-25,22-Oct-25,11-Nov-25,18,18,100%,
E-SUB-B01-BAS02-1020,Submittal for Ramps Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,17-Nov-25,7-Dec-25,17-Nov-25,7-Dec-25,10,10,100%,
E-SUB-B01-BAS01-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,17-Nov-25,7-Dec-25,22-Oct-25,3-Feb-26,18,18,100%,
E-SUB-B03-BAS02-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.2ndB,20-Nov-25,10-Dec-25,1-Mar-26,10-Mar-26,18,18,100%,
E-SUB-B04-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB,20-Nov-25,10-Dec-25,1-Mar-26,10-Mar-26,18,18,100%,
E-SUB-B02-BAS02-1030,Submittal for Slabs Conc. Dim.& RFT DWGs (B02) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.2ndB,20-Nov-25,10-Dec-25,26-Oct-25,22-Feb-26,15,15,100%,
E-SUB-B01-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,20-Nov-25,10-Dec-25,20-Nov-25,16-Feb-26,20,20,100%,
E-SUB-B03-BAS01-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B03) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.1stB,20-Nov-25,10-Dec-25,1-Jan-26,10-Feb-26,18,18,100%,
E-SUB-B02-BAS01-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.1stB,20-Nov-25,10-Dec-25,25-Oct-25,13-Nov-25,10,10,100%,
E-SUB-B01-BAS01-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1stB,20-Nov-25,10-Dec-25,26-Oct-25,15-Nov-25,20,20,100%,
E-SUB-B01-GR-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.GF,20-Nov-25,10-Dec-25,26-Oct-25,15-Nov-25,7,7,100%,
E-SUB-B04-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB,24-Nov-25,14-Dec-25,9-Feb-26,26-Feb-26,18,18,100%,
E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.2ndB,24-Nov-25,14-Dec-25,30-Nov-25,22-Feb-26,10,10,100%,
E-SUB-B03-BAS01-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B03) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.1stB,24-Nov-25,14-Dec-25,1-Feb-26,10-Feb-26,2,2,100%,
E-SUB-B02-BAS01-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B02) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.1stB,24-Nov-25,14-Dec-25,19-Oct-25,18-Nov-25,2,2,100%,
