project_id,activity_id,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
The Big -P.01-UP-20-April-26,P-MDEL-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MDEL-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B04-WT-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS01-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-GR-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-2ND-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-3RD-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-4TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS02-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-2ND-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-3RD-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-4TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-RF-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS02-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1050,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MDEL-1000,10-May-26,100.00%,89.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-EW-B01-1000,10-May-26,100.00%,100.00%,"$2,379,405.49","$2,379,405.49","$2,379,405.49",
The Big -P.01-UP-20-April-26,CON-EW-B02-1000,10-May-26,100.00%,100.00%,"$1,268,401.09","$1,268,401.09","$1,268,401.09",
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-5TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-6TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-7TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-8TH-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-RF-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS01-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-BAS01-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS01-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-EW-B01-1010,10-May-26,100.00%,100.00%,"$264,378.39","$264,378.39","$264,378.39",
The Big -P.01-UP-20-April-26,CON-EW-B02-1010,10-May-26,100.00%,100.00%,"$140,933.45","$140,933.45","$140,933.45",
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-EW-B03-1010,10-May-26,100.00%,100.00%,"$152,876.89","$152,876.89","$152,876.89",
The Big -P.01-UP-20-April-26,CON-EW-B04-1010,10-May-26,100.00%,100.00%,"$201,411.27","$201,411.27","$201,411.27",
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MPOS-1070,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1000,10-May-26,100.00%,100.00%,"$796,713.38","$796,713.38","$796,713.38",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1000,10-May-26,100.00%,100.00%,"$424,288.13","$424,288.13","$424,288.13",
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1010,10-May-26,100.00%,100.00%,"$1,858,997.88","$1,858,997.88","$1,858,997.88",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1010,10-May-26,100.00%,100.00%,"$990,005.63","$990,005.63","$990,005.63",
The Big -P.01-UP-20-April-26,P-MDEL-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-BAS02-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MDEL-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1000,10-May-26,100.00%,100.00%,"$606,042.00","$606,042.00","$606,042.00",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1000,10-May-26,100.00%,100.00%,"$459,468.75","$459,468.75","$459,468.75",
The Big -P.01-UP-20-April-26,E-APP-B02-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1030,10-May-26,100.00%,100.00%,"$1,487,911.54","$1,487,911.54","$1,487,911.54",
The Big -P.01-UP-20-April-26,CON-B04-WT-1050,10-May-26,100.00%,100.00%,"$630,000.00","$630,000.00","$630,000.00",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1030,10-May-26,100.00%,100.00%,"$793,168.14","$793,168.14","$793,168.14",
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1010,10-May-26,100.00%,100.00%,"$1,414,098.00","$1,414,098.00","$1,414,098.00",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1010,10-May-26,100.00%,100.00%,"$1,072,093.75","$1,072,093.75","$1,072,093.75",
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1030,10-May-26,100.00%,100.00%,"$1,133,534.97","$1,133,534.97","$1,133,534.97",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1030,10-May-26,100.00%,100.00%,"$860,385.35","$860,385.35","$860,385.35",
The Big -P.01-UP-20-April-26,CON-B04-WT-1060,10-May-26,100.00%,100.00%,"$1,423,684.00","$1,423,684.00","$1,423,684.00",
The Big -P.01-UP-20-April-26,E-SUB-B03-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-1ST-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-2ND-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-3RD-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-4TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-5TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-6TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-7TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-8TH-1000,10-May-26,67.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-1ST-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-2ND-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-3RD-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-4TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-RF-1000,10-May-26,39.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-RF-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-BAS01-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-1ST-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-2ND-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-3RD-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-4TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-RF-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1040,10-May-26,100.00%,100.00%,"$2,877,739.56","$2,877,739.56","$2,877,739.56",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1040,10-May-26,100.00%,100.00%,"$2,271,974.10","$2,271,974.10","$2,271,974.10",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1050,10-May-26,100.00%,100.00%,"$7,996,512.12","$7,996,512.12","$7,996,512.12",
The Big -P.01-UP-20-April-26,CON-B04-WT-1070,10-May-26,100.00%,100.00%,"$1,860,691.06","$1,860,691.06","$1,860,691.06",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1050,10-May-26,100.00%,100.00%,"$6,313,254.79","$6,313,254.79","$6,313,254.79",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1080,10-May-26,100.00%,100.00%,"$6,714,725.63","$6,714,725.63","$6,714,725.63",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1090,10-May-26,100.00%,100.00%,"$5,301,272.91","$5,301,272.91","$5,301,272.91",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1060,10-May-26,100.00%,100.00%,"$44,307.90","$44,307.90","$44,307.90",
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1070,10-May-26,100.00%,100.00%,"$59,377.83","$59,377.83","$59,377.83",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1060,10-May-26,100.00%,100.00%,"$73,546.20","$73,546.20","$73,546.20",
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1070,10-May-26,100.00%,100.00%,"$98,560.62","$98,560.62","$98,560.62",
The Big -P.01-UP-20-April-26,E-SUB-B03-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-2ND-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-3RD-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-4TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-5TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-6TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-7TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-8TH-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-RF-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-BAS02-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B01-BAS02-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B01-BAS02-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B01-BAS02-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-BAS01-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-BAS01-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B01-BAS01-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-GR-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
